epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,148.035,0.69274,0.54105,0.87219,0.99684,1,0.995,0.83189,0.30704,0.30964,0.43799,0.00178263,0.00178263,0.00178263
45,151.37,0.72092,0.5339,0.87074,0.99906,1,0.995,0.82658,0.33792,0.26556,0.43775,0.00177281,0.00177281,0.00177281
46,154.424,0.70931,0.54424,0.87105,1,0.99993,0.995,0.83886,0.31599,0.26725,0.4378,0.0017628,0.0017628,0.0017628
47,157.684,0.72181,0.55395,0.88089,0.99978,1,0.995,0.82742,0.3389,0.25297,0.43952,0.00175261,0.00175261,0.00175261
48,160.922,0.70434,0.5348,0.85017,0.9987,1,0.995,0.85222,0.30132,0.23202,0.42842,0.00174223,0.00174223,0.00174223
49,163.943,0.71063,0.52446,0.8613,0.99839,1,0.995,0.84218,0.31484,0.24476,0.43406,0.00173168,0.00173168,0.00173168
50,167.175,0.74877,0.53264,0.88301,0.9989,1,0.995,0.84542,0.3316,0.26881,0.445,0.00172095,0.00172095,0.00172095
51,170.47,0.72683,0.51583,0.86068,0.99881,1,0.995,0.83955,0.31285,0.43411,0.44342,0.00171004,0.00171004,0.00171004
52,173.867,0.69626,0.50291,0.85088,0.99829,1,0.995,0.83968,0.31469,0.64321,0.4329,0.00169895,0.00169895,0.00169895
53,177.237,0.67338,0.51373,0.8478,0.99844,1,0.995,0.85818,0.30092,0.42669,0.43542,0.0016877,0.0016877,0.0016877
54,180.565,0.6863,0.5105,0.86698,0.99857,1,0.995,0.84914,0.30054,0.4165,0.43427,0.00167628,0.00167628,0.00167628
55,183.86,0.7124,0.50441,0.85857,0.99883,1,0.995,0.84286,0.31011,0.33265,0.43313,0.0016647,0.0016647,0.0016647
56,187.136,0.71611,0.52107,0.85812,0.99842,1,0.995,0.81588,0.32255,0.32724,0.43507,0.00165295,0.00165295,0.00165295
57,190.479,0.69398,0.52006,0.86933,0.99792,1,0.995,0.84101,0.32074,0.44767,0.43626,0.00164105,0.00164105,0.00164105
58,193.934,0.67816,0.48819,0.86212,0.99196,1,0.995,0.86967,0.27926,0.85746,0.43079,0.00162899,0.00162899,0.00162899
59,197.304,0.70433,0.508,0.86395,0.9819,1,0.99327,0.84861,0.29197,3.42293,0.43576,0.00161678,0.00161678,0.00161678
60,200.594,0.71205,0.51238,0.87794,0.99702,1,0.995,0.84732,0.30152,1.58452,0.43192,0.00160442,0.00160442,0.00160442
61,203.795,0.655,0.47967,0.83683,0.99841,1,0.995,0.81798,0.35134,0.43493,0.44008,0.00159191,0.00159191,0.00159191
62,207.136,0.68157,0.50266,0.85902,0.99802,1,0.995,0.85487,0.29722,0.2636,0.4317,0.00157926,0.00157926,0.00157926
63,210.419,0.67408,0.48734,0.84097,0.9985,1,0.995,0.85124,0.29216,0.34965,0.43344,0.00156646,0.00156646,0.00156646
64,213.645,0.70329,0.51368,0.86797,0.9989,1,0.995,0.82969,0.29679,0.2501,0.43106,0.00155353,0.00155353,0.00155353
65,217.013,0.68051,0.48629,0.86871,0.99893,1,0.995,0.85383,0.28757,0.2622,0.42979,0.00154047,0.00154047,0.00154047
66,220.29,0.62571,0.4618,0.84814,0.99891,1,0.995,0.85115,0.29487,0.23928,0.42834,0.00152727,0.00152727,0.00152727
67,223.52,0.70429,0.48658,0.86448,0.99497,1,0.995,0.85625,0.28269,0.26707,0.42889,0.00151395,0.00151395,0.00151395
68,226.724,0.68771,0.49516,0.86192,0.9978,1,0.995,0.84403,0.30956,0.38072,0.43611,0.0015005,0.0015005,0.0015005
69,229.852,0.68798,0.48951,0.8558,0.99777,1,0.995,0.82819,0.32215,0.24075,0.43549,0.00148694,0.00148694,0.00148694
70,233.068,0.68352,0.47098,0.86334,0.99797,1,0.995,0.83943,0.33332,0.22417,0.43672,0.00147325,0.00147325,0.00147325
71,236.298,0.69764,0.49168,0.86482,0.99787,1,0.995,0.81979,0.32846,0.36486,0.4403,0.00145945,0.00145945,0.00145945
72,239.36,0.67725,0.46456,0.85542,0.99906,1,0.995,0.84795,0.30893,0.20941,0.43166,0.00144554,0.00144554,0.00144554
73,242.668,0.66283,0.46505,0.84375,0.99892,1,0.995,0.85165,0.29773,0.25829,0.43094,0.00143152,0.00143152,0.00143152
74,245.952,0.63872,0.46186,0.85154,0.99895,1,0.995,0.84338,0.28633,0.34648,0.42907,0.0014174,0.0014174,0.0014174
75,249.168,0.64974,0.45778,0.85336,0.99879,1,0.995,0.83518,0.29983,0.46778,0.43211,0.00140318,0.00140318,0.00140318
76,252.475,0.63195,0.45476,0.85162,0.99867,1,0.995,0.84251,0.30719,0.26758,0.43365,0.00138886,0.00138886,0.00138886
77,255.716,0.65083,0.45657,0.84488,0.99853,1,0.995,0.85756,0.31199,0.24263,0.4374,0.00137444,0.00137444,0.00137444
78,258.961,0.63403,0.44018,0.84543,0.99906,1,0.995,0.85731,0.28115,0.21181,0.43146,0.00135994,0.00135994,0.00135994
79,262.33,0.64094,0.44308,0.86064,0.99877,1,0.995,0.82842,0.31287,0.23194,0.4313,0.00134535,0.00134535,0.00134535
80,265.576,0.63927,0.438,0.83883,0.99889,1,0.995,0.85902,0.26613,0.19928,0.4305,0.00133068,0.00133068,0.00133068
81,268.859,0.66185,0.45173,0.85949,0.99867,1,0.995,0.85272,0.29888,0.27371,0.43951,0.00131593,0.00131593,0.00131593
82,272.129,0.69909,0.46694,0.86175,0.99881,1,0.995,0.84806,0.28486,0.37748,0.43403,0.0013011,0.0013011,0.0013011
